City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,25.99,78,100,6.17,CC,1696862862
1,yellowknife,62.456,-114.3525,5.79,100,40,4.12,CA,1696862607
2,lebanon,36.2081,-86.2911,14.74,70,75,5.66,US,1696862864
3,bredasdorp,-34.5322,20.0403,15.12,77,90,7.69,ZA,1696862865
4,bethel,41.3712,-73.414,13.59,66,75,3.6,US,1696862865
5,ushuaia,-54.8,-68.3,2.81,92,100,10.73,AR,1696862796
6,port-aux-francais,-49.35,70.2167,2.76,76,68,17.31,TF,1696862866
7,waitangi,-43.9535,-176.5597,9.34,81,92,4.02,NZ,1696862867
8,anloga,5.7947,0.8973,28.09,75,76,5.86,GH,1696862867
9,vadso,70.0744,29.7487,1.49,80,75,6.17,NO,1696862868
10,isafjordur,66.0755,-23.124,10.02,71,100,7.72,IS,1696862868
11,trincomalee,8.5711,81.2335,27.98,78,100,2.11,LK,1696862869
12,mandal,25.45,74.5667,26.15,52,0,3.8,IN,1696862869
13,blackmans bay,-43.0167,147.3167,8.18,85,100,2.39,AU,1696862870
14,adamstown,-25.066,-130.1015,19.11,66,14,5.18,PN,1696862870
15,thompson,55.7435,-97.8558,5.09,100,75,1.03,CA,1696862872
16,albany,42.6001,-73.9662,12.51,70,83,0.45,US,1696862741
17,ilulissat,69.2167,-51.1,1.01,75,75,3.09,GL,1696862872
18,kruisfontein,-34.0033,24.7314,15.49,83,100,3.68,ZA,1696862873
19,fereydun kenar,36.6864,52.5225,23.57,65,2,0.89,IR,1696862874
20,iskateley,67.6803,53.1512,1.12,75,89,6.26,RU,1696862875
21,olonkinbyen,70.9221,-8.7187,1.45,86,99,4.54,SJ,1696862876
22,istaravshan,39.9142,69.0033,16.9,44,0,2.23,TJ,1696862876
23,prince rupert,54.3161,-130.3201,14.05,76,100,20.58,CA,1696862877
24,stanley,54.868,-1.6985,20.99,83,20,4.63,GB,1696862879
25,turpan,42.9333,89.1667,24.28,25,34,1.75,CN,1696862879
26,port macquarie,-31.4333,152.9167,14.38,81,99,4.06,AU,1696862880
27,puerto natales,-51.7236,-72.4875,6.25,56,75,10.8,CL,1696862835
28,talnakh,69.4865,88.3972,7.34,99,100,5.22,RU,1696862881
29,edinburgh of the seven seas,-37.0676,-12.3116,13.48,93,100,8.14,SH,1696862882
30,anadyr,64.75,177.4833,-1.72,86,100,1.0,RU,1696862883
31,arang,21.2,81.9667,29.18,70,87,2.01,IN,1696862883
32,rongelap,11.1635,166.8941,28.11,78,95,5.28,MH,1696862884
33,oamaru,-45.0784,170.9801,7.99,83,0,1.56,NZ,1696862885
34,malpica,43.3228,-8.8105,28.3,45,6,1.85,ES,1696862885
35,margaret river,-33.95,115.0667,14.69,87,27,4.1,AU,1696862886
36,newman,37.3138,-121.0208,16.19,84,92,0.89,US,1696862886
37,ancud,-41.8697,-73.8203,9.85,87,100,5.18,CL,1696862855
38,new norfolk,-42.7826,147.0587,8.84,92,98,1.36,AU,1696862887
39,genhe,50.7833,121.5167,4.0,66,59,0.26,CN,1696862888
40,grytviken,-54.2811,-36.5092,2.42,86,98,2.84,GS,1696862888
41,avarua,-21.2078,-159.775,24.03,94,75,3.09,CK,1696862889
42,ixtapa,20.7,-105.2,27.35,100,100,1.54,MX,1696862889
43,kailua-kona,19.6406,-155.9956,23.06,92,100,2.24,US,1696862890
44,broome,42.2506,-75.833,11.16,75,20,6.69,US,1696862891
45,port elizabeth,-33.918,25.5701,16.72,74,100,5.66,ZA,1696862891
46,qaqortoq,60.7167,-46.0333,6.54,81,75,1.98,GL,1696862891
47,balabac,7.9868,117.0645,27.94,80,54,3.81,PH,1696862892
48,la passe,45.5549,-0.8967,30.13,42,0,2.46,FR,1696862892
49,touros,-5.1989,-35.4608,30.02,58,18,8.34,BR,1696862893
50,fuglafjordur,62.244,-6.814,9.26,77,100,8.82,FO,1696862893
51,lihue,21.9789,-159.3672,22.98,89,100,3.09,US,1696862894
52,san antonio oeste,-40.7319,-64.9477,19.53,26,9,11.36,AR,1696862894
53,zhoucheng,35.9122,116.3117,15.78,45,34,2.71,CN,1696862895
54,port mathurin,-19.6833,63.4167,23.69,77,32,6.93,MU,1696862895
55,hadibu,12.65,54.0333,27.8,75,94,1.16,YE,1696862896
56,longyearbyen,78.2186,15.6401,-5.09,74,40,4.63,SJ,1696862896
57,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,100,20,3.0,RU,1696862897
58,bayanhongor,46.7167,100.1167,2.36,54,47,1.95,MN,1696862897
59,uturoa,-16.7333,-151.4333,25.33,77,78,8.38,PF,1696862898
60,nar'yan-mar,67.6713,53.087,1.17,75,89,6.26,RU,1696862898
61,bilibino,68.0546,166.4372,-11.69,99,99,0.89,RU,1696862899
62,wotho,10.1657,166.0102,26.92,80,100,3.19,MH,1696862899
